prepconfig,EN_ONLY,COM_STR,SPLIT,SPLIT_REPR,TABS_NEWLINES,vocabsize,n_tokens,>=2(vocab),>=2(-n_tokens),>=2(-n_tokens%),>=3(vocab),>=3(-n_tokens),>=3(-n_tokens%),>=4(vocab),>=4(-n_tokens),>=4(-n_tokens%),>=5(vocab),>=5(-n_tokens),>=5(-n_tokens%),>=10(vocab),>=10(-n_tokens),>=10(-n_tokens%),>=15(vocab),>=15(-n_tokens),>=15(-n_tokens%),>=20(vocab),>=20(-n_tokens),>=20(-n_tokens%),>=25(vocab),>=25(-n_tokens),>=25(-n_tokens%),>=30(vocab),>=30(-n_tokens),>=30(-n_tokens%),>=35(vocab),>=35(-n_tokens),>=35(-n_tokens%),>=40(vocab),>=40(-n_tokens),>=40(-n_tokens%),>=45(vocab),>=45(-n_tokens),>=45(-n_tokens%),>=50(vocab),>=50(-n_tokens),>=50(-n_tokens%),>=55(vocab),>=55(-n_tokens),>=55(-n_tokens%),>=60(vocab),>=60(-n_tokens),>=60(-n_tokens%),>=65(vocab),>=65(-n_tokens),>=65(-n_tokens%),>=70(vocab),>=70(-n_tokens),>=70(-n_tokens%),>=75(vocab),>=75(-n_tokens),>=75(-n_tokens%),>=80(vocab),>=80(-n_tokens),>=80(-n_tokens%),>=85(vocab),>=85(-n_tokens),>=85(-n_tokens%),>=90(vocab),>=90(-n_tokens),>=90(-n_tokens%),>=95(vocab),>=95(-n_tokens),>=95(-n_tokens%),>=100(vocab),>=100(-n_tokens),>=100(-n_tokens%),>=150(vocab),>=150(-n_tokens),>=150(-n_tokens%),>=200(vocab),>=200(-n_tokens),>=200(-n_tokens%),>=300(vocab),>=300(-n_tokens),>=300(-n_tokens%),>=400(vocab),>=400(-n_tokens),>=400(-n_tokens%),>=500(vocab),>=500(-n_tokens),>=500(-n_tokens%),>=1000(vocab),>=1000(-n_tokens),>=1000(-n_tokens%)
11501,en_only,strings+NO_comments,camel+underscore+bpe_1k,separators,NO_tabs+NO_newlines,1131,2538235265,1125,6,0.000,1124,8,0.000,1122,14,0.000,1122,14,0.000,1120,28,0.000,1118,51,0.000,1118,51,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1117,74,0.000,1116,240,0.000,1114,735,0.000,1114,735,0.000,1114,735,0.000,1111,2897,0.000
11510,en_only,strings+NO_comments,camel+underscore+bpe_1k,boundaries,tabs+newlines,1134,3122637294,1128,6,0.000,1127,8,0.000,1125,14,0.000,1125,14,0.000,1123,28,0.000,1121,51,0.000,1121,51,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1119,98,0.000,1118,264,0.000,1116,759,0.000,1116,759,0.000,1116,759,0.000,1113,2921,0.000
11511,en_only,strings+NO_comments,camel+underscore+bpe_1k,boundaries,NO_tabs+NO_newlines,1132,2655405530,1126,6,0.000,1125,8,0.000,1123,14,0.000,1123,14,0.000,1121,28,0.000,1119,51,0.000,1119,51,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1117,98,0.000,1116,264,0.000,1114,759,0.000,1114,759,0.000,1114,759,0.000,1111,2921,0.000
11600,en_only,strings+NO_comments,camel+underscore+bpe_10k,separators,tabs+newlines,10113,2313208073,10099,14,0.000,10095,22,0.000,10091,34,0.000,10083,66,0.000,10071,151,0.000,10057,306,0.000,10050,421,0.000,10042,600,0.000,10036,758,0.000,10021,1240,0.000,10019,1311,0.000,10011,1649,0.000,10004,1977,0.000,9995,2448,0.000,9987,2896,0.000,9979,3394,0.000,9973,3791,0.000,9968,4147,0.000,9958,4919,0.000,9954,5242,0.000,9948,5761,0.000,9941,6405,0.000,9938,6697,0.000,9909,10344,0.000,9883,14796,0.001,9829,28377,0.001,9777,46644,0.002,9733,66063,0.003,9548,200668,0.009
11601,en_only,strings+NO_comments,camel+underscore+bpe_10k,separators,NO_tabs+NO_newlines,10111,1845976309,10097,14,0.000,10093,22,0.000,10089,34,0.000,10081,66,0.000,10069,151,0.000,10055,306,0.000,10048,421,0.000,10040,600,0.000,10034,758,0.000,10019,1240,0.000,10017,1311,0.000,10009,1649,0.000,10002,1977,0.000,9993,2448,0.000,9985,2896,0.000,9977,3394,0.000,9971,3791,0.000,9966,4147,0.000,9956,4919,0.000,9952,5242,0.000,9946,5761,0.000,9939,6405,0.000,9936,6697,0.000,9907,10344,0.001,9881,14796,0.001,9827,28377,0.002,9775,46644,0.003,9731,66063,0.004,9546,200668,0.011
11610,en_only,strings+NO_comments,camel+underscore+bpe_10k,boundaries,tabs+newlines,10114,2560522866,10100,14,0.000,10096,22,0.000,10092,34,0.000,10084,66,0.000,10072,151,0.000,10058,306,0.000,10051,421,0.000,10042,624,0.000,10036,782,0.000,10021,1264,0.000,10019,1335,0.000,10011,1673,0.000,10004,2001,0.000,9995,2472,0.000,9987,2920,0.000,9979,3418,0.000,9973,3815,0.000,9968,4171,0.000,9958,4943,0.000,9954,5266,0.000,9948,5785,0.000,9941,6429,0.000,9938,6721,0.000,9909,10368,0.000,9883,14820,0.001,9829,28401,0.001,9777,46668,0.002,9733,66087,0.003,9548,200692,0.008
11611,en_only,strings+NO_comments,camel+underscore+bpe_10k,boundaries,NO_tabs+NO_newlines,10112,2093291102,10098,14,0.000,10094,22,0.000,10090,34,0.000,10082,66,0.000,10070,151,0.000,10056,306,0.000,10049,421,0.000,10040,624,0.000,10034,782,0.000,10019,1264,0.000,10017,1335,0.000,10009,1673,0.000,10002,2001,0.000,9993,2472,0.000,9985,2920,0.000,9977,3418,0.000,9971,3815,0.000,9966,4171,0.000,9956,4943,0.000,9952,5266,0.000,9946,5785,0.000,9939,6429,0.000,9936,6721,0.000,9907,10368,0.000,9881,14820,0.001,9827,28401,0.001,9775,46668,0.002,9731,66087,0.003,9546,200692,0.010
12100,en_only,NO_strings+NO_comments,camel+underscore,separators,tabs+newlines,692038,1662444521,445898,246140,0.015,334932,468072,0.028,282885,624213,0.038,246040,771593,0.046,138646,1457780,0.088,103411,1870240,0.113,85255,2172271,0.131,74416,2409231,0.145,67156,2604070,0.157,61518,2783792,0.168,57286,2939975,0.177,53672,3091190,0.186,50525,3239016,0.195,47877,3376570,0.203,45620,3505126,0.211,43610,3629496,0.219,41996,3737567,0.225,40491,3845822,0.232,39154,3948702,0.238,37956,4046962,0.244,36895,4139197,0.249,35794,4240368,0.255,34827,4334159,0.261,28531,5099568,0.307,24731,5755987,0.347,20084,6894935,0.415,17226,7885875,0.475,15383,8708551,0.525,10884,11895887,0.717
12101,en_only,NO_strings+NO_comments,camel+underscore,separators,NO_tabs+NO_newlines,692036,1261140770,445896,246140,0.020,334930,468072,0.037,282883,624213,0.050,246038,771593,0.061,138644,1457780,0.116,103409,1870240,0.149,85253,2172271,0.173,74414,2409231,0.191,67154,2604070,0.207,61516,2783792,0.221,57284,2939975,0.234,53670,3091190,0.246,50523,3239016,0.257,47875,3376570,0.268,45618,3505126,0.278,43608,3629496,0.288,41994,3737567,0.297,40489,3845822,0.305,39152,3948702,0.314,37954,4046962,0.321,36893,4139197,0.329,35792,4240368,0.337,34825,4334159,0.344,28529,5099568,0.405,24729,5755987,0.457,20082,6894935,0.548,17224,7885875,0.626,15381,8708551,0.692,10882,11895887,0.945
12110,en_only,NO_strings+NO_comments,camel+underscore,boundaries,tabs+newlines,692039,1888481581,445899,246140,0.013,334933,468072,0.025,282886,624213,0.033,246041,771593,0.041,138647,1457780,0.077,103412,1870240,0.099,85256,2172271,0.115,74417,2409231,0.128,67157,2604070,0.138,61519,2783792,0.148,57287,2939975,0.156,53673,3091190,0.164,50526,3239016,0.172,47878,3376570,0.179,45621,3505126,0.186,43611,3629496,0.192,41997,3737567,0.198,40492,3845822,0.204,39155,3948702,0.209,37957,4046962,0.215,36896,4139197,0.219,35795,4240368,0.225,34828,4334159,0.230,28532,5099568,0.270,24732,5755987,0.305,20085,6894935,0.366,17227,7885875,0.418,15384,8708551,0.462,10885,11895887,0.631
12111,en_only,NO_strings+NO_comments,camel+underscore,boundaries,NO_tabs+NO_newlines,692037,1487177830,445897,246140,0.017,334931,468072,0.032,282884,624213,0.042,246039,771593,0.052,138645,1457780,0.098,103410,1870240,0.126,85254,2172271,0.146,74415,2409231,0.162,67155,2604070,0.175,61517,2783792,0.187,57285,2939975,0.198,53671,3091190,0.208,50524,3239016,0.218,47876,3376570,0.227,45619,3505126,0.236,43609,3629496,0.244,41995,3737567,0.252,40490,3845822,0.259,39153,3948702,0.266,37955,4046962,0.273,36894,4139197,0.279,35793,4240368,0.286,34826,4334159,0.292,28530,5099568,0.343,24730,5755987,0.388,20083,6894935,0.464,17225,7885875,0.531,15382,8708551,0.586,10883,11895887,0.801
12200,en_only,NO_strings+NO_comments,camel+underscore+numbers,separators,tabs+newlines,337035,1705237195,256558,80477,0.005,217283,159027,0.009,182868,262272,0.015,161791,346580,0.020,110256,686786,0.040,87956,947588,0.056,75145,1162220,0.068,66324,1354938,0.080,60221,1518934,0.089,55341,1674563,0.098,51615,1812050,0.106,48583,1938987,0.114,45807,2069429,0.122,43576,2185209,0.128,41664,2294107,0.135,39990,2397774,0.141,38596,2491112,0.146,37286,2585371,0.152,36072,2678823,0.157,34982,2768235,0.163,34011,2852626,0.167,32985,2946916,0.173,32109,3031888,0.178,26232,3746230,0.220,22737,4349394,0.255,18664,5346807,0.314,16136,6223197,0.365,14467,6968533,0.409,10278,9937023,0.583
12201,en_only,NO_strings+NO_comments,camel+underscore+numbers,separators,NO_tabs+NO_newlines,336992,1303943314,256533,80459,0.006,217266,158993,0.012,182853,262232,0.020,161776,346540,0.027,110234,686792,0.053,87936,947575,0.073,75121,1162294,0.089,66303,1354949,0.104,60202,1518890,0.117,55320,1674582,0.129,51593,1812103,0.139,48562,1939001,0.149,45786,2069445,0.159,43556,2185169,0.168,41644,2294068,0.176,39972,2397610,0.184,38575,2491147,0.191,37264,2585484,0.199,36051,2678864,0.206,34961,2768276,0.213,33990,2852671,0.219,32961,2947241,0.226,32087,3032023,0.233,26222,3744911,0.288,22725,4348440,0.334,18655,5345161,0.411,16129,6220827,0.478,14462,6965258,0.535,10278,9929309,0.763
12210,en_only,NO_strings+NO_comments,camel+underscore+numbers,boundaries,tabs+newlines,336994,1923556419,256535,80459,0.004,217268,158993,0.008,182855,262232,0.014,161778,346540,0.018,110236,686792,0.036,87938,947575,0.049,75123,1162294,0.060,66305,1354949,0.071,60204,1518890,0.079,55322,1674582,0.087,51595,1812103,0.094,48564,1939001,0.101,45788,2069445,0.108,43558,2185169,0.114,41646,2294068,0.119,39974,2397610,0.125,38577,2491147,0.130,37266,2585484,0.135,36053,2678864,0.139,34963,2768276,0.144,33992,2852671,0.148,32963,2947241,0.153,32089,3032023,0.158,26224,3744911,0.195,22727,4348440,0.226,18657,5345161,0.278,16131,6220827,0.324,14464,6965258,0.363,10280,9929309,0.517
12211,en_only,NO_strings+NO_comments,camel+underscore+numbers,boundaries,NO_tabs+NO_newlines,336992,1522252668,256533,80459,0.005,217266,158993,0.010,182853,262232,0.017,161776,346540,0.023,110234,686792,0.045,87936,947575,0.062,75121,1162294,0.076,66303,1354949,0.089,60202,1518890,0.100,55320,1674582,0.110,51593,1812103,0.119,48562,1939001,0.128,45786,2069445,0.136,43556,2185169,0.144,41644,2294068,0.151,39972,2397610,0.158,38575,2491147,0.164,37264,2585484,0.170,36051,2678864,0.176,34961,2768276,0.182,33990,2852671,0.188,32961,2947241,0.194,32087,3032023,0.199,26222,3744911,0.246,22725,4348440,0.286,18655,5345161,0.352,16129,6220827,0.409,14462,6965258,0.458,10278,9929309,0.653
12400,en_only,NO_strings+NO_comments,camel+underscore+bpe_5k,separators,tabs+newlines,5112,1762718509,5106,6,0.000,5100,18,0.000,5097,27,0.000,5094,39,0.000,5081,123,0.000,5075,191,0.000,5068,320,0.000,5065,386,0.000,5062,464,0.000,5057,624,0.000,5056,659,0.000,5050,912,0.000,5049,957,0.000,5047,1061,0.000,5044,1232,0.000,5043,1295,0.000,5041,1430,0.000,5037,1720,0.000,5035,1872,0.000,5034,1956,0.000,5030,2304,0.000,5028,2488,0.000,5025,2777,0.000,5000,5923,0.000,4982,9015,0.001,4947,17598,0.001,4925,25132,0.001,4895,38462,0.002,4806,104847,0.006
12401,en_only,NO_strings+NO_comments,camel+underscore+bpe_5k,separators,NO_tabs+NO_newlines,5110,1361414758,5104,6,0.000,5098,18,0.000,5095,27,0.000,5092,39,0.000,5079,123,0.000,5073,191,0.000,5066,320,0.000,5063,386,0.000,5060,464,0.000,5055,624,0.000,5054,659,0.000,5048,912,0.000,5047,957,0.000,5045,1061,0.000,5042,1232,0.000,5041,1295,0.000,5039,1430,0.000,5035,1720,0.000,5033,1872,0.000,5032,1956,0.000,5028,2304,0.000,5026,2488,0.000,5023,2777,0.000,4998,5923,0.000,4980,9015,0.001,4945,17598,0.001,4923,25132,0.002,4893,38462,0.003,4804,104847,0.008
12410,en_only,NO_strings+NO_comments,camel+underscore+bpe_5k,boundaries,tabs+newlines,5112,1972676757,5106,6,0.000,5100,18,0.000,5097,27,0.000,5094,39,0.000,5081,123,0.000,5075,191,0.000,5068,320,0.000,5065,386,0.000,5062,464,0.000,5057,624,0.000,5056,659,0.000,5050,912,0.000,5049,957,0.000,5047,1061,0.000,5044,1232,0.000,5043,1295,0.000,5041,1430,0.000,5037,1720,0.000,5035,1872,0.000,5034,1956,0.000,5030,2304,0.000,5028,2488,0.000,5025,2777,0.000,5000,5923,0.000,4982,9015,0.000,4947,17598,0.001,4925,25132,0.001,4895,38462,0.002,4806,104847,0.005
12411,en_only,NO_strings+NO_comments,camel+underscore+bpe_5k,boundaries,NO_tabs+NO_newlines,5110,1571373006,5104,6,0.000,5098,18,0.000,5095,27,0.000,5092,39,0.000,5079,123,0.000,5073,191,0.000,5066,320,0.000,5063,386,0.000,5060,464,0.000,5055,624,0.000,5054,659,0.000,5048,912,0.000,5047,957,0.000,5045,1061,0.000,5042,1232,0.000,5041,1295,0.000,5039,1430,0.000,5035,1720,0.000,5033,1872,0.000,5032,1956,0.000,5028,2304,0.000,5026,2488,0.000,5023,2777,0.000,4998,5923,0.000,4980,9015,0.001,4945,17598,0.001,4923,25132,0.002,4893,38462,0.002,4804,104847,0.007
12500,en_only,NO_strings+NO_comments,camel+underscore+bpe_1k,separators,tabs+newlines,1124,2153170807,1122,2,0.000,1121,4,0.000,1121,4,0.000,1121,4,0.000,1119,17,0.000,1118,29,0.000,1117,48,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1116,70,0.000,1115,147,0.000,1115,147,0.000,1115,147,0.000,1115,147,0.000,1115,147,0.000,1114,261,0.000,1113,441,0.000,1111,930,0.000,1111,930,0.000,1109,1862,0.000,1105,4920,0.000
12501,en_only,NO_strings+NO_comments,camel+underscore+bpe_1k,separators,NO_tabs+NO_newlines,1122,1748788827,1120,2,0.000,1119,4,0.000,1119,4,0.000,1119,4,0.000,1117,17,0.000,1116,29,0.000,1115,48,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1113,147,0.000,1113,147,0.000,1113,147,0.000,1113,147,0.000,1113,147,0.000,1112,261,0.000,1111,441,0.000,1109,930,0.000,1109,930,0.000,1107,1862,0.000,1103,4920,0.000
12510,en_only,NO_strings+NO_comments,camel+underscore+bpe_1k,boundaries,tabs+newlines,1641,2241926481,1582,59,0.000,1528,167,0.000,1483,302,0.000,1437,486,0.000,1344,1094,0.000,1302,1594,0.000,1278,2001,0.000,1256,2468,0.000,1237,2976,0.000,1208,3923,0.000,1198,4293,0.000,1188,4708,0.000,1180,5082,0.000,1174,5385,0.000,1168,5728,0.000,1167,5788,0.000,1166,5855,0.000,1159,6357,0.000,1156,6587,0.000,1154,6754,0.000,1152,6926,0.000,1149,7198,0.000,1148,7293,0.000,1131,9453,0.000,1124,10639,0.000,1118,12124,0.001,1117,12444,0.001,1112,14703,0.001,1107,18917,0.001
12511,en_only,NO_strings+NO_comments,camel+underscore+bpe_1k,boundaries,NO_tabs+NO_newlines,1122,1840630901,1120,2,0.000,1119,4,0.000,1119,4,0.000,1119,4,0.000,1117,17,0.000,1116,29,0.000,1115,48,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1114,70,0.000,1113,147,0.000,1113,147,0.000,1113,147,0.000,1113,147,0.000,1113,147,0.000,1112,261,0.000,1111,441,0.000,1109,930,0.000,1109,930,0.000,1107,1862,0.000,1103,4920,0.000

